ID;Type;Subtype;Object;abbr.;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref
1;Plastic;1;High-density polyethylene ;HDPE;;;0.485;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74
2;Plastic;1;High-density polyethylene ;HDPE;density at 15°C;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
3;Plastic;1;High-density polyethylene ;HDPE;at 300K;;0.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132
4;Plastic;1;High-density polyethylene ;HDPE;303-333K;;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131
5;Plastic;1;High-density polyethylene ;HDPE;at 23°C;;0.485;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98
6;Plastic;1;High-density polyethylene ;HDPE;Cp at 25°C;0.958;0.54;1.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115
7;Plastic;1;High-density polyethylene ;HDPE;;0.961;;;;;;;;;;;;;dry ash free basis;86.09;12.99;0.00;0.28;0.00;0;99.36;86.64452496;13.0736715;0;0.281803543;0;0;;;;;;;82
8;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;0.03;99.4;0;0;99.43;0.03017198;99.96982802;0;0;N/A;82.37;14.54;0;0;0.21;;97.12;84.81260297;14.97116969;0;0;0.216227348;;;;44.84;44.8535332;44.8535332;44.84;91
9;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;0;99.925;0;0;99.925;0;100;0;0;N/A;84.57;13.95;0.45;0;0;;98.97;85.4501364;14.09518036;0.454683237;0;0;;;;;;;;84
10;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;85.73;14.27;0;0;0;;100;85.73;14.27;0;0;0;;;;;;;;79
11;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;99.98;0.02;0;100;0;99.98;0.02;0;dry basis;85.08;14.92;0;0;0;;100;85.08;14.92;0;0;0;;;;;;;;80
12;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;86.1;13;0;0;0.9;0;100;86.1;13;0;0;0.9;0;;;46.4;46.4;46.4;46.4;88
13;Plastic;1;High-density polyethylene ;HDPE;;0.95;0.4;2.25;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;82.9;15.47;0;0;1.63;;100;82.9;15.47;0;0;1.63;;;;;;;;11
14;Plastic;1;High-density polyethylene ;HDPE;;0.9535;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130
15;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;85.11;14.57;0.32;0;0;;100;85.11;14.57;0.32;0;0;;;;;;;;103
16;Plastic;1;High-density polyethylene ;HDPE;;0.918;;;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;84.95;14.3;0.55;0;0.2;0;100;84.95;14.3;0.55;0;0.2;0;;;;;;;113
17;Plastic;1;High-density polyethylene ;HDPE;;;0.475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135
18;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;100;0;0;100;0;100;0;0;N/A;80.58;13.98;0.6;0.08;5.19;0;100.43;80.23498954;13.92014338;0.597431047;0.079657473;5.167778552;0;;;45.78;45.78;45.78;45.78;97
19;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;99.99;0;0.01;100;0;99.99;0;0.01;N/A;85.09;14.04;0;0;0.86;;99.99;85.09850985;14.04140414;0;0;0.860086009;;;;;;;;116
20;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;0;99.92;0;0.08;100;0;99.92;0;0.08;N/A;83.29;13.93;0.2;0.07;2.51;0;100;83.29;13.93;0.2;0.07;2.51;0;;;47.64;47.67814251;47.64;47.64;120
21;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;15;84.9;0.02;0.08;100;15;84.9;0.02;0.08;N/A;84.74;11.95;0.02;0.66;2.63;;100;84.74;11.95;0.02;0.66;2.63;;;;;;;;122
22;Plastic;1;High-density polyethylene ;HDPE;;;;;as received;0.1;97.3;2.5;0.1;100;0.1;97.3;2.5;0.1;dry basis;85.4;11.37;0.09;0;0;;96.86;88.1684906;11.73859178;0.092917613;0;0;;;;45.15;45.24048096;45.1951952;45.15;32
23;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;99.57;0.25;0.18;100;0;99.57;0.25;0.18;dry ash free basis;85.35;12.7;0.05;0.14;1.9;;100.14;85.23067705;12.68224486;0.049930098;0.139804274;1.897343719;;;46.36;;46.44359848;46.36;46.36;42
24;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;0.405;99.377;0;0.218;100;0.405;99.377;0;0.218;N/A;82.77;16.92;0;0.29;0;;99.98;82.78655731;16.92338468;0;0.290058012;0;;;;;;;;92
25;Plastic;1;High-density polyethylene ;HDPE;;;;;as received;0.72;99.27;0;0.38;100.37;0.71734582;98.904055;0;0.378599183;dry ash free basis;85.39;14.23;0.02;0.23;0.37;;100.24;85.18555467;14.19592977;0.019952115;0.229449322;0.369114126;;;;;;;;65
26;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;99.42;0;0.58;100;0;99.42;0;0.58;dry ash free basis;85.44;14.24;0;0;0.32;0;100;85.44;14.24;0;0;0.32;0;;;;;;;31
27;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;99.4;0;0.6;100;0;99.4;0;0.6;dry ash free basis;85.5;14.2;0;0.3;0;0;100;85.5;14.2;0;0.3;0;0;;;;;;;31
28;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;99.4;0;0.6;100;0;99.4;0;0.6;dry ash free basis;85.5;14.2;0;0.3;0;0;100;85.5;14.2;0;0.3;0;0;;;;;;;111
29;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;85.3;14.1;0.6;100;0;85.3;14.1;0.6;dry ash free basis;85.5;14.2;0;0.3;0;;100;85.5;14.2;0;0.3;0;;;;;;;;117
30;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;99.19;0.02;0.79;100;0;99.19;0.02;0.79;;;;;;;;;;;;;;;;;;;;;57
31;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;98.57;0.03;1.4;100;0;98.57;0.03;1.4;dry basis;83.73;15.52;0.01;0;0;0;99.26014199;84.35410057;15.63568184;0.010217583;0;0;0;;;;;;;119
32;Plastic;1;High-density polyethylene ;HDPE;;;;;w/d basis;0.2;96.5;1.7;1.8;100.2;0.2;96.31;1.6966;1.7964;dry basis;84.29;13.40;0.00;0.01;2.30;;100.00;84.29;13.40;0.00;0.01;2.30;;;;44.24;45.14119889;44.32865731;44.24;60
33;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0.32;91.88;3.9;3.9;100;0.32;91.88;3.9;3.9;dry ash free basis;83.40;12.70;1.08;0.002;2.80;;99.982;83.4150147;12.70228641;1.080194435;0.00200036;2.800504091;;;;46.48;48.52787638;46.62921348;46.48;114
34;Plastic;1;High-density polyethylene ;HDPE;;;;;air dry basis;0;100;0;0;100;0;100;0;0;N/A;84.95;14.3;0.55;0;0.2;0;100;84.95;14.3;0.55;0;0.2;0;;;;;;;97
35;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;1.56;89.25;1.3;4.65;96.76;1.612236461;92.23852832;1.343530384;4.805704837;N/A;78.2;12.875;0.375;0;0;;91.45;85.51120831;14.07873155;0.410060142;0;0;;;;;;;;84
36;Plastic;2;Low-density polyethylene;LDPE;;;;;as received;0.1;97.6;2.3;0;100;0.1;97.6;2.3;0;dry basis;84.1;12.15;0;0;0;;96.25;87.37662338;12.62337662;0;0;0;;;;45.7;45.74574575;45.74574575;45.7;32
37;Plastic;2;Low-density polyethylene;LDPE;;;;;as received;0;90;0;10;100;0;90;0;10;N/A;85.4;13.9;0;0;0.07;0;99.37;85.94143102;13.98812519;0;0;0.070443796;0;;18.43;;20.47777778;18.43;18.43;123
38;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0;99.98;0.02;0;100;0;99.98;0.02;0;dry ash free basis;85.98;11.2;0.21;0;2.61;;100;85.98;11.2;0.21;0;2.61;;;46.48;;46.48;46.48;46.48;42
39;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;85.7;14.2;0.05;0;0.05;0;100;85.7;14.2;0.05;0;0.05;0;;;46.6;46.6;46.6;46.6;88
40;Plastic;2;Low-density polyethylene;LDPE;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135
41;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;82.18;16.37;0;0;1.45;;100;82.18;16.37;0;0;1.45;;;;;;;;11
42;Plastic;2;Low-density polyethylene;LDPE;;;;;N/A;0.06;99.67;0;0;99.73;0.060162439;99.93983756;0;0;N/A;82.37;14.57;0.15;2.73;0.21;;100.03;82.34529641;14.56563031;0.149955013;2.729181246;0.209937019;;;;;;;;101
43;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0.15;99.65;0;0.02;99.82;0.15;99.82969345;0;0.020036065;;;;;;;;;;;;;;;;;;;;;57
44;Plastic;2;Low-density polyethylene;LDPE;;;;;N/A;0;99.9;0.05;0.05;100;0;99.9;0.05;0.05;N/A;85.7;14.14;0;0;0.16;;100;85.7;14.14;0;0;0.16;;;;;;;;99
45;Plastic;2;Low-density polyethylene;LDPE;;;;;as received;0.01;99.95;0;0.08;100.04;0.009996002;99.91003599;0;0.079968013;dry ash free basis;86.32;14.43;0;0.21;0;;100.96;85.49920761;14.29278922;0;0.20800317;0;;;;;;;;65
46;Plastic;2;Low-density polyethylene;LDPE;;0.9175;0.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130
47;Plastic;2;Low-density polyethylene;LDPE;;;;;as received;0.08;99.78;0.05;0.08;99.99;0.080008001;99.789979;0.050005001;0.080008001;as received;83.457;13.693;0.007;0.459;2.384;;100;83.457;13.693;0.007;0.459;2.384;;;;;;;;78
48;Plastic;2;Low-density polyethylene;LDPE;;0.923;0.3;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133
49;Plastic;2;Low-density polyethylene;LDPE;;;;;N/A;0.199;99.653;0;0.148;100;0.199;99.653;0;0.148;N/A;83;16.75;0;0.25;0;;100;83;16.75;0;0.25;0;;;;;;;;92
50;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0;99.7;0;0.3;100;0;99.7;0;0.3;dry ash free basis;85.5;14.3;0;0.2;0;0;100;85.5;14.3;0;0.2;0;0;;;;;;;31
51;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0;92.1;7.6;0.3;100;0;92.1;7.6;0.3;dry ash free basis;85.5;14.3;0;0.2;0;;100;85.5;14.3;0;0.2;0;;;;;;;;117
52;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0;99.69;0;0.31;100;0;99.69;0;0.31;dry ash free basis;85.51;14.3;0;0;0.19;0;100;85.51;14.3;0;0;0.19;0;;;;;;;31
53;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0;99.6;0;0.4;100;0;99.6;0;0.4;dry ash free basis;85.5;14.3;0;0.2;0;;100;85.5;14.3;0;0.2;0;;;;;;;;111
54;Plastic;2;Low-density polyethylene;LDPE;;;;;N/A;0.76;95.59;2.82;0.83;100;0.76;95.59;2.82;0.83;N/A;85.68;14.2;0.05;0;0.02;0.05;100;85.68;14.2;0.05;0;0.02;0.05;;;;;;;59
55;Plastic;2;Low-density polyethylene;LDPE;;;;;air dry basis;0;99.08;0;0.92;100;0;99.08;0;0.92;N/A;86.35;13.58;0;0.074;0;;100.004;86.34654614;13.57945682;0;0.07399704;0;;;;;;;;102
56;Plastic;2;Low-density polyethylene;LDPE;;;;;air dry basis;0.34;95.61;0.68;3.37;100;0.34;95.61;0.68;3.37;;;;;;;;;;;;;;;;;;;;;66
57;Plastic;2;Low-density polyethylene;LDPE;;;;;dry basis;0.2;93.8;1.2;5;100.2;0.2;93.61;1.20;4.99;dry basis;78.90;12.60;0.20;0.02;8.28;;100.00;78.9;12.6;0.2;0.02;8.28;;;;43.39;45.76521464;43.47695391;43.39;60
58;Plastic;2;Low-density polyethylene;LDPE;;0.922;0.25;3.095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83
59;Plastic;2;Low-density polyethylene;LDPE;density at 15°C;0.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
60;Plastic;2;Low-density polyethylene;LDPE;at 300K;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132
61;Plastic;2;Low-density polyethylene;LDPE;at 23°C;;0.33;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98
62;Plastic;2;Low-density polyethylene;LDPE;;0.98068;0.218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108
63;Plastic;2;Low-density polyethylene;LDPE;Cp at 25°C;0.921;0.37;2.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115
64;Plastic;2;Low-density polyethylene;LDPE;;0.921;;;;;;;;;;;;;dry ash free basis;86.35;13.51;0;0.08;0;0;99.94;86.4018411;13.51811087;0;0.080048029;0;0;;;;;;;82
65;Plastic;2;Low-density polyethylene;LDPE;;;;;;;;;;;;;;;N/A;81.8;13.52;0.29;0;4.39;;100;81.8;13.52;0.29;0;4.39;;;;;;;;90
66;Plastic;3;Polyamide (nylon);PA;;;;;air dry basis;1.31;98.6;1.91;0.04;101.86;1.286078932;96.79952876;1.875122717;0.039269586;air dry basis;62.4;9.07;15.1;0.01;11.92;;98.5;63.35025381;9.208121827;15.32994924;0.010152284;12.10152284;;;;;;;;63
67;Plastic;3;Polyamide (nylon);PA;at 23°C;;0.26;1.7;air dry basis;1.32;98.65;0;0.04;100.01;1.319868013;98.64013599;0;0.039996;air dry basis;62.48;9.07;15.17;0.01;11.92;;98.65;63.33502281;9.194120628;15.37759757;0.010136847;12.08312215;;28.59;;;28.59;28.5784122;28.20121488;98
68;Plastic;3;Polyamide (nylon);PA;;;;;as received;1.1;98.4;0.2;0.3;100;1.1;98.4;0.2;0.3;dry basis;62.7;9.7;10.67;0;5.12;;88.19;71.0964962;10.99897948;12.09887742;0;5.805646899;;;;32.6;33.06288032;32.96258847;32.6;32
69;Plastic;3;Polyamide (nylon);PA;;;;;w/d basis;0.77;99.47;0.17;0.36;100.77;0.77;98.70;0.17;0.36;N/A;72.26;12.08;7.14;0;8.53;;100.01;72.25277472;12.07879212;7.139286071;0;8.529147085;;;;;;;;85
70;Plastic;3;Polyamide (nylon);PA;;1.129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112
71;Plastic;3;Polyamide (nylon);PA;Polyamide 11;1.04;0.25;1.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69
72;Plastic;3;Polyamide (nylon);PA;Polyamid PA6;1.14;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70
73;Plastic;3;Polyamide (nylon);PA;PA 12;1.02;0.3;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71
74;Plastic;3;Polyamide (nylon);PA;;1.183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72
75;Plastic;3;Polyamide (nylon);PA;Hippe PA 12 Nylon 12;1.02;0.23;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73
76;Plastic;3;Polyamide (nylon);PA;Nylon 6;;0.26;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74
77;Plastic;3;Polyamide (nylon);PA;Nylon 6,6;;0.25;1.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74
78;Plastic;3;Polyamide (nylon);PA;;1.13;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86
79;Plastic;3;Polyamide (nylon);PA;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109
80;Plastic;4;Polyethylene;PE;;;;;N/A;0.1;98.87;0.04;0.99;100;0.1;98.87;0.04;0.99;N/A;81.8;13.6;0;0;0;0.01;95.41;85.73524788;14.25427104;0;0;0;0.010481082;;;;;;;125
81;Plastic;4;Polyethylene;PE;;0.918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112
82;Plastic;4;Polyethylene;PE;;;;;air dry basis;5.69;92.18;2.04;0.11;100.02;5.688862228;92.16156769;2.039592082;0.109978004;air dry basis;85.4;15.04;0;0;2.77;0;103.21;82.74392016;14.57223137;0;0;2.683848464;0;;;;;;;104
83;Plastic;4;Polyethylene;PE;;0.918;;1.9167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
84;Plastic;4;Polyethylene;PE;;;;;as received;0;99.8;0.1;0.1;100;0;99.8;0.1;0.1;dry ash free basis;85.7;14.3;0;0;0;;100;85.7;14.3;0;0;0;;;;;;;;129
85;Plastic;4;Polyethylene;PE;;;;;air dry basis;0.02;99.83;0;0.15;100;0.02;99.83;0;0.15;dry ash free basis;85.83;14.38;0.16;0.07;0;0;100.44;85.45400239;14.31700518;0.159299084;0.069693349;0;0;;;;;;;10
86;Plastic;4;Polyethylene;PE;;;;;dry basis;0;99.7;0.1;0.2;100;0;99.7;0.1;0.2;dry basis;84.3;15.4;0;0;0.1;;99.8;84.46893788;15.43086172;0;0;0.100200401;;;;;;;;12
87;Plastic;4;Polyethylene;PE;;;;;N/A;1;95.5;2.4;1;99.9;1.001001001;95.5955956;2.402402402;1.001001001;N/A;77.61;11.91;0.1;0;10.38;;100;77.61;11.91;0.1;0;10.38;;;;;;;;107
88;Plastic;4;Polyethylene;PE;;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136
89;Plastic;4;Polyethylene;PE;;;;;dry basis;0;99.7;0.1;0.2;100;0;99.7;0.1;0.2;dry basis;85.40;14.40;0.03;0.00;0.17;0;100;85.4;14.4;0.03;0;0.17;0;;;;;;;94
