ID;Type;Subtype;Object;abbr.;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref
178;Plastic;6;Polypropylene;PP;;;;;w/d basis;0;99.18;0;0.82;100;0;99.18;0;0.82;dry ash free basis;83.75;13.98;0.00;0.00;2.27;0;100;83.75;13.98;0.00;0.00;2.27;0;;;;;;;18
179;Plastic;6;Polypropylene;PP;;;;;w/d basis;0;98.9;0;1.1;100;0;98.9;0;1.1;;;;;;;;;;;;;;;;;;;;;18
180;Plastic;6;Polypropylene;PP;;;;;w/d basis;0.23;99.79;0.13;0.08;100.23;0.23;99.56;0.129701;0.079816;dry ash free basis;84.62;15.23;0.14;0.01;0.00;0;100;84.62;15.23;0.14;0.01;0.00;0;;;;;;;18
181;Plastic;6;Polypropylene;PP;;;;;;;;;;;;;;;dry ash free basis;85.22;13.70;0.00;0.00;1.08;0;100;85.22;13.70;0.00;0.00;1.08;0;;;;;;;18
182;Plastic;6;Polypropylene;PP;;;;;;;;;;;;;;;dry ash free basis;85.10;14.40;0.00;0.00;0.50;;100;85.10;14.40;0.00;0.00;0.50;;;;;;;;18
183;Plastic;6;Polypropylene;PP;;;;;;;;;;;;;;;dry ash free basis;86.72;13.28;0.00;0.00;0.00;;100.00;86.72;13.28;0.00;0.00;0.00;;;;;;;;18
184;Plastic;6;Polypropylene;PP;;;;;;;;;;;;;;;dry ash free basis;86.39;13.61;0;0;0;0;100;86.39;13.61;0;0;0;0;;;;;;;18
185;Plastic;6;Polypropylene;PP;density at 15°C;0.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
186;Plastic;6;Polypropylene;PP;at 23°C;0.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95
187;Plastic;6;Polypropylene;PP;at 23°C;;0.16;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98
188;Plastic;6;Polypropylene;PP;;0.904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106
189;Plastic;6;Polypropylene;PP;;0.918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106
190;Plastic;6;Polypropylene;PP;;0.904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106
191;Plastic;6;Polypropylene;PP;;0.907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106
192;Plastic;6;Polypropylene;PP;;;0.245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109
193;Plastic;6;Polypropylene;PP;Cp at 25°C;0.903;0.22;1.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115
194;Plastic;6;Polypropylene;PP;;0.903;;;;;;;;;;;;;dry ash free basis;86.06;13.70;0;0;0;0;99.76;86.2670409;13.7329591;0;0;0;0;;;;;;;82
195;Plastic;6;Polypropylene;PP;TC at 293 K  and Cp at 300 K ;0.885;0.12;1.622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130
196;Plastic;6;Polypropylene;PP;at 300K;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132
197;Plastic;6;Polypropylene;PP;;;;;;;;;;;;;;;N/A;83.28;13.61;0.16;0;2.96;;100.01;83.27167283;13.60863914;0.159984002;0;2.95970403;;;;;;;;90
198;Plastic;7;Polystyrene;PS;;;;;dry basis;0;99.9;0.1;0;100;0;99.9;0.1;0;N/A;92.8;7.2;0;0;0;;100;92.8;7.2;0;0;0;;;;46.116;46.116;46.116;46.116;61
199;Plastic;7;Polystyrene;PS;;;;;;;;;;;;;;;N/A;93.63;6.36;0;0;0;0;99.99;93.63936394;6.360636064;0;0;0;0;;;;;;;124
200;Plastic;7;Polystyrene;PS;;;;;as received;0;100;0;0;100;0;100;0;0;dry basis;90.7;7.7;0.05;0;1.55;0;100;90.7;7.7;0.05;0;1.55;0;;;41.95;41.95;41.95;41.95;32
201;Plastic;7;Polystyrene;PS;*shift of the reference for the thermophysical properties - WIP;1.05;0.028;1.968;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;91.2;8.8;0;0;0;;100;91.2;8.8;0;0;0;;;;;;;;11
202;Plastic;7;Polystyrene;PS;;;;;N/A;0;99.78;0.22;0;100;0;99.78;0.22;0;N/A;91.57;7.8;0.15;0.04;0.45;;100.01;91.56084392;7.799220078;0.149985001;0.039996;0.449955004;;;;;;;;110
203;Plastic;7;Polystyrene;PS;;;;;dry basis;0;99.8;0.2;0;100;0;99.8;0.2;0;dry ash free basis;92.7;7.9;0;0;0;0;100.6;92.1471173;7.852882704;0;0;0;0;;;42.1;42.1;42.1;42.1;88
204;Plastic;7;Polystyrene;PS;;;;;dry basis;0.27;99.56;0.16;0;99.99;0.270027003;99.569957;0.160016002;0;;;;;;;;;;;;;;;;;;;;;57
205;Plastic;7;Polystyrene;PS;at 300K ;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132
206;Plastic;7;Polystyrene;PS;;;;;dry basis;0;99.57;0.39;0.04;100;0;99.57;0.39;0.04;dry ash free basis;86.06;6.27;5.73;0;1.93;;99.99;86.06860686;6.270627063;5.730573057;0;1.930193019;;;38.93;;38.94557823;38.93;38.93;42
207;Plastic;7;Polystyrene;PS;;;;;air dry basis;2.51;92.48;4.92;0.09;100.0023172;2.509941841;92.47785714;4.919885998;0.092315022;air dry basis;92.59;8.13;0;0.00;2.24;0;102.96;89.92812743;7.896270396;0;0;2.175602176;0;;;;;;;104
208;Plastic;7;Polystyrene;PS;;;;;N/A;0.235;99.59;0;0.175;100;0.235;99.59;0;0.175;N/A;90.47;9.43;0;0.08;0;;99.98;90.48809762;9.431886377;0;0.080016003;0;;;;;;;;92
209;Plastic;7;Polystyrene;PS;;;;;dry basis;0;99.80;0.00;0.20;100;0;99.8;0;0.2;dry basis;90.20;8.50;0.00;0.00;1.30;0;100;90.2;8.5;0;0;1.3;0;;;;;;;94
210;Plastic;7;Polystyrene;PS;;;;;dry basis;0.5;99.24;0.02;0.24;100;0.5;99.24;0.02;0.24;dry basis;90.55;7.82;0.17;1.22;0.00;;99.76;90.76784282;7.838813152;0.170408982;1.222935044;0;;;;;;;;43
211;Plastic;7;Polystyrene;PS;;;;;w/d basis;0.45;99.57;0.39;0.04;100.45;0.45;99.12;0.388245;0.03982;dry ash free basis;;;;;;;;;;;;;;;38.93;;38.94557823;38.93;38.754815;18
212;Plastic;7;Polystyrene;PS;;;;;w/d basis;0.2;99.4;0.1;0.5;100.2;0.2;99.20;0.0998;0.499;dry ash free basis;87.1;8.4;0.2;0;4;;99.7;87.36208626;8.425275827;0.200601805;0;4.012036108;0;;;;;;;18
213;Plastic;7;Polystyrene;PS;;;;;w/d basis;0;99.49;0.00;0.51;100;0;99.49;0.00;0.51;dry ash free basis;91.08;7.68;0;0.00;1.24;0;100.00;91.08;7.68;0;0.00;1.24;0;;;;;;;18
214;Plastic;7;Polystyrene;PS;;;;;w/d basis;0.06;99.39;0.60;0.01;100.06;0.06;99.33;0.59964;0.009994;dry ash free basis;;;;;;;;;;;;;;;;;;;;18
215;Plastic;7;Polystyrene;PS;;;;;;;;;;;;;;;dry ash free basis;89.20;9.00;0.00;0.00;1.80;;100.00;89.20;9.00;0.00;0.00;1.80;;;;;;;;18
216;Plastic;7;Polystyrene;PS;;;;;;;;;;;;;;;dry ash free basis;89.06;10.02;0.00;0.37;0.55;;100.00;89.06;10.02;0.00;0.37;0.55;;;;;;;;18
217;Plastic;7;Polystyrene;PS;;;;;;;;;;;;;;;dry ash free basis;92.14;7.86;0.00;0.00;0.00;0;100.00;92.14;7.86;0.00;0.00;0.00;0;;;;;;;18
218;Plastic;7;Polystyrene;PS;;;;;;;;;;;;;;;dry ash free basis;87.76;9.25;0.00;0.04;5.30;0;102.35;85.74499267;9.037616023;0;0.039081583;5.178309722;0;;;;;;;18
219;Plastic;7;Polystyrene;PS;TC at 373K and Cp at 300K;1.065;0.128;1.223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130
220;Plastic;7;Polystyrene;PS;;1.05;0.14;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133
221;Plastic;7;Polystyrene;PS;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137
222;Plastic;7;Polystyrene;PS;;;;;dry basis;0.28;94.33;4.55;0.84;100;0.28;94.33;4.55;0.84;dry ash free basis;89.20;8.78;0.01;0.00;2.01;;100;89.2;8.78;0.01;0;2.01;;;;40.34;40.79692557;40.45326915;40.34;114
223;Plastic;7;Polystyrene;PS;;;;;as received;0.86;97.71;0.45;0.98;100;0.86;97.71;0.45;0.98;dry ash free basis;90.34;9.06;0.29;0;0.31;;100;90.34;9.06;0.29;0;0.31;;;;;;;;76
224;Plastic;7;Polystyrene;PS;;;;;dry basis;0.3;94.2;1.3;4.5;100.3;0.3;93.92;1.30;4.49;dry basis;84.48;8.86;0.09;0.01;6.56;;100;84.48;8.86;0.09;0.01;6.56;;;;41.02;43.08212596;41.14343029;41.02;60
225;Plastic;7;Polystyrene;PS;;;;;as received;1.72;98.25;0.00;5.23;105.2;1.634980989;93.39353612;0;4.97148289;dry ash free basis;89.91;8.14;0.11;0.23;1.84;;100.23;89.70368153;8.121320962;0.109747581;0.229472214;1.835777711;;;;;;;;65
226;Plastic;7;Polystyrene;PS;density at 15°C;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
227;Plastic;7;Polystyrene;PS;at 23°C;0.902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95
228;Plastic;7;Polystyrene;PS;at 23°C;;0.115;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98
229;Plastic;7;Polystyrene;PS;;1.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112
230;Plastic;7;Polystyrene;PS;;1.05;;;;;;;;;;;;;dry ash free basis;92.66;7.86;0;0.04;0;0;100.56;92.14399364;7.816229117;0;0.039777247;0;0;;;;;;;82
231;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry basis;42.51;5.35;0;0;1.08;50.93;99.87;42.56533494;5.356964053;0;0;1.081405828;50.99629518;;;;;;;87
232;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry basis;40.1;5.1;0;0;0;53.7;98.9;40.54600607;5.156723964;0;0;0;54.29726997;;;;;;;138
233;Plastic;8;Polyvinylchloride;PVC;;;;;dry basis;0.77;94.26;5.74;0;100.77;0.77;93.53;5.70;0;;;;;;;;;;;;;;;;;;;;;57
234;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.74;94.82;5.19;0;100.75;0.74;94.12;5.15;0.00;dry basis;42.52;6.16;0;0;0;51.31;99.99;42.52425243;6.160616062;0;0;0;51.31513151;;;;;;;119
235;Plastic;8;Polyvinylchloride;PVC;;;;;dry basis;0;94.93;5.07;0;100;0;94.93;5.07;0;dry ash free basis;38.34;4.47;0.23;0;0;56.96;100;38.34;4.47;0.23;0;0;56.96;;20.83;;20.83;20.83;20.83;42
236;Plastic;8;Polyvinylchloride;PVC;;;;;air dry basis;0.01;96.52;3.47;0;100;0.01;96.52;3.47;0;air dry basis;37.78;4.83;0.14;0.16;0.36;56.73;100;37.78;4.83;0.14;0.16;0.36;56.73;;;;;;;105
237;Plastic;8;Polyvinylchloride;PVC;;;;;N/A;0;97.23;2.77;0;100;0;97.23;2.77;0;N/A;38.64;4.77;0.14;0.11;0;56.34;100;;;;;;;;;;;;;14
238;Plastic;8;Polyvinylchloride;PVC;;;;;air dry basis;0.86;98.88;0.17;0.09;100.0007807;0.859993286;98.87922804;0.169998673;0.090780005;air dry basis;38.53;5.04;0.013;0.176;0;56.25;100.009;38.52653261;5.039546441;0.01299883;0.175984161;0;56.24493796;;;;;;;104
239;Plastic;8;Polyvinylchloride;PVC;;;;;dry basis;0;94.8;4.8;0.4;100;0;94.8;4.8;0.4;dry ash free basis;41.4;5.3;0.04;0.03;5.83;47.7;100.3;41.27617149;5.284147557;0.039880359;0.029910269;5.812562313;47.55732802;;;22.8;22.89156627;22.8;22.8;88
240;Plastic;8;Polyvinylchloride;PVC;;;;;dry basis;0.02;88.95;8.67;2.36;100;0.02;88.95;8.67;2.36;dry basis;38.80;5.14;0.09;0;0;53.61;97.64217534;39.73692707;5.264118689;0.094401152;0;0;54.90455309;;;;;;;43
241;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.21;85.94;9.87;4.19;100.21;0.21;85.76;9.85;4.18;dry ash free basis;40.59;5;0.08;0.2;0.59;53.53;99.99;40.59405941;5.00050005;0.080008001;0.200020002;0.590059006;53.53535354;21.17;;;21.17;20.282977;20.24038275;13
242;Plastic;8;Polyvinylchloride;PVC;;;;;as received;0.2;85.9;6.3;7.6;100;0.2;85.9;6.3;7.6;dry basis;35.9;4.4;0.11;0;0;59.59;100;;;;;;;;;18.1;19.63123644;18.13627255;18.1;32
243;Plastic;8;Polyvinylchloride;PVC;;;0.17;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77
244;Plastic;8;Polyvinylchloride;PVC;density at 15°C;0.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
245;Plastic;8;Polyvinylchloride;PVC;at 23°C;1.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95
246;Plastic;8;Polyvinylchloride;PVC;;1.413;0.208;1.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96
247;Plastic;8;Polyvinylchloride;PVC;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109
248;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;38.02;4.78;0.17;0;0;56.5;99.47;38.22257967;4.805468986;0.170905801;0;0;56.80104554;;;;;;;82
249;Plastic;8;Polyvinylchloride;PVC;TC at 293 K and Cp at 300 K ;1.405;0.158;0.9496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130
250;Plastic;8;Polyvinylchloride;PVC;;1.089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121
251;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.78;79.81;11.45;8.74;100.78;0.78;79.19;11.36;8.67;dry ash free basis;37.81;4.25;0.09;0.19;0;57.66;100;37.81;4.25;0.09;0.19;0;57.66;;;;;;;18
252;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.3;65.17;20.47;14.36;100.3;0.3;64.97;20.41;14.32;dry ash free basis;38.82;5.1;0.06;0.3;0;55.72;100;38.82;5.1;0.06;0.3;0;55.72;;;;;;;18
253;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.28;65.06;19.95;14.99;100.28;0.28;64.88;19.89;14.95;dry ash free basis;40.39;4.54;0.2;0.09;0.21;54.56;99.99;40.3940394;4.540454045;0.200020002;0.090009001;0.210021002;54.56545655;;15.876;;18.67544995;15.876;15.8315472;18
254;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.26;91.25;8.43;0.32;100.26;0.26;91.01;8.41;0.32;dry ash free basis;41.79;4.84;0.09;0.2;0;53.26;100.18;41.71491316;4.831303653;0.089838291;0.199640647;0;53.16430425;;21.732;;21.80176565;21.732;21.6754968;18
255;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.24;93.71;6.29;0;100.24;0.24;93.49;6.27;0.00;dry ash free basis;;;;;;;;;;;;;;;;;;;;18
256;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.23;91.99;7.81;0.2;100.23;0.23;91.78;7.79;0.20;dry ash free basis;52.3;5.11;0.15;0.06;0;42.37;99.99;52.30523052;5.110511051;0.150015002;0.060006001;0;42.37423742;;22.646;;22.69138277;22.646;22.5939142;18
257;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.23;95.46;4.54;0;100.23;0.23;95.24;4.53;0.00;dry ash free basis;;;;;;;;;;;;;;;;;;;;18
258;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.2;87.08;10.82;2.1;100.2;0.2;86.91;10.80;2.10;dry ash free basis;46.12;5.71;0.1;0.1;1.63;46.33;99.99;46.12461246;5.710571057;0.100010001;0.100010001;1.630163016;46.33463346;;22.735;;23.2226762;22.735;22.68953;18
259;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.2;95.16;4.8;0.04;100.2;0.2;94.97;4.79;0.04;dry ash free basis;38.75;5.21;0.22;0;0;55.82;100;38.75;5.21;0.22;0;0;55.82;;22.566;;22.57503001;22.566;22.520868;18
260;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.16;94.93;5.07;0;100.16;0.16;94.78;5.06;0.00;dry ash free basis;38.34;4.47;0.23;0.61;0;56.35;100;38.34;4.47;0.23;0.61;0;56.35;;20.83;;20.83;20.83;20.796672;18
261;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.12;93.96;5.96;0.08;100.12;0.12;93.85;5.95;0.08;dry ash free basis;40.38;5.83;0.07;1.25;0;52.46;99.99;40.3840384;5.830583058;0.070007001;1.250125013;0;52.46524652;;22.405;;22.42293835;22.405;22.378114;18
262;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.11;;;;0.11;;;;;dry ash free basis;40.78;5.73;0.02;0.09;0;53.38;100;40.78;5.73;0.02;0.09;0;53.38;;20.079;;;20.079;;18
263;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.2;94.5;5.4;0.1;100.2;0.2;94.31;5.39;0.10;dry ash free basis;38.83;4.57;0.01;0;0;56.6;100.01;38.82611739;4.569543046;0.009999;0;0;56.59434057;;21.682;;21.7037037;21.682;21.638636;18
264;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0;71.39;14.49;14.12;100;0;71.39;14.49;14.12;dry ash free basis;40.91;4.8;0.06;0.01;0;54.23;100.01;40.90590941;4.799520048;0.059994001;0.009999;0;54.22457754;;;;;;;18
265;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0;83.73;12.77;3.5;100;0;83.73;12.77;3.5;dry ash free basis;;;;;;;;;;;;;;;;;;;;18
266;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;40.8;5.2;0;0;5.3;48.7;100;40.8;5.2;0;0;5.3;48.7;;;;;;;18
267;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;38.4;4.8;0;0;0;56.8;100;38.4;4.8;0;0;0;56.8;;;;;;;18
268;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;38.15;5.18;0;0.21;2.3;54.16;100;38.15;5.18;0;0.21;2.3;54.16;;;;;;;18
269;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;36.83;4.71;0.05;0.25;0;58.15;99.99;36.83368337;4.710471047;0.050005001;0.250025003;0;58.15581558;;;;;;;18
270;Plastic;8;Polyvinylchloride;PVC;;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135
271;Plastic;8;Polyvinylchloride;PVC;;1.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137
